Comment,Designator,Footprint,JLCPCB Part #（optional）
1N4148W switching diode,"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D12,D13,D14,D15,D16,D18,D20,D21",SOD-123 (through-plated pads),C81598
SK6812MINI-EA reverse-mount RGB LED,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED12,LED13,LED14,LED15,LED16,LED20,LED21",3228 reverse-mount through cutout,C5378731
MX hotswap socket CPG151101S11-16,"HS1,HS2,HS3,HS4,HS5,HS6,HS7,HS8,HS9,HS10,HS12,HS13,HS14,HS15,HS16,HS20,HS21",Kailh hotswap SMD,C41430893
0R configuration resistor,"JP1,JP2,JP3,JP4,JP16,JP17,JP18,JP23,JP25",0603,C21189
PJ-320A-4P TRRS jack,J1,3.5mm TRRS THT,C18185602
KLJ-1102 piezo buzzer,BZ1,SMD 11x9mm,C201047
Alps SKRTLAE010 reset switch,RSW1,SMD side-actuated tact,C110293
EC11E15244G1 rotary encoder,SW18,EC11 THT,C370970
