Comment,Designator,Footprint,JLCPCB Part #（optional）
1N4148W switching diode,"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D12,D13,D14,D15,D16,D18,D20,D21",SOD-123 (through-plated pads),C81598
SK6812MINI-EA reverse-mount RGB LED,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED12,LED13,LED14,LED15,LED16,LED20,LED21",3228 reverse-mount through cutout,C5378731
